k,t_gamma,phase_radians,magnitude_ratio,direction,residual_dps50,dps80_rerun_triggered,residual_dps80
1,14.13472514173469379045725198356247027078,2.588018294692747986954110653190234364162,0.044774201492961440814,+,1.92439e-49,false,
2,21.02203963877155499262847959389690277733,-0.553574358897045251508532730089268520035,0.092407218856697744912,-,2.27185e-50,false,
3,25.01085758014568876321379099256282181866,-0.553574358897045251508532730089268520035,9.2164671789710980365,-,4.00915e-51,false,
4,30.42487612585951321031189753058409132018,2.588018294692747986954110653190234364162,11.427860478395056392,+,3.20732e-50,false,
5,32.93506158773918969066236896407490348881,-0.553574358897045251508532730089268520035,0.60161420321134312011,-,2.13821e-50,false,
6,37.58617815882567125721776348070533282141,2.588018294692747986954110653190234364162,0.37374865395145413086,+,5.34553e-51,false,
7,40.91871901214749518739812691463325439573,2.588018294692747986954110653190234364162,2.0659300650492524483,+,1.60366e-50,false,
8,43.32707328091499951949612216540680578265,-0.553574358897045251508532730089268520035,1.1185956208703334688,-,8.68649e-50,false,
9,48.00515088116715972794247274942751604169,-0.553574358897045251508532730089268520035,0.62466599830300405497,-,1.87094e-50,false,
10,49.77383247767230218191678467856372405772,2.588018294692747986954110653190234364162,0.20818753139516092168,+,6.94919e-50,false,
11,52.97032147771446064414729660888099006383,-0.553574358897045251508532730089268520035,5.0743750361727006595,-,1.20274e-50,false,
12,56.44624769706339480436775947670612755278,2.588018294692747986954110653190234364162,0.09607447305770721353,+,3.20732e-50,false,
13,59.3470440026023530796536486749922190311,-0.553574358897045251508532730089268520035,1.6060673425145266137,-,6.01372e-50,false,
14,60.83177852460980984425990182452400380291,-0.553574358897045251508532730089268520035,2.0716666298152092283,-,4.00915e-51,false,
15,65.11254404808160666087505425318370502935,-0.553574358897045251508532730089268520035,0.040933007583506795614,-,2.40549e-50,false,
16,67.07981052949417371447882889652221677011,-0.553574358897045251508532730089268520035,0.53350375665178008427,-,1.06911e-50,false,
17,69.54640171117397925292685752655473844301,2.588018294692747986954110653190234364162,7.6641939016891400115,+,5.88008e-50,false,
18,72.06715767448190758252210796982616839048,-0.553574358897045251508532730089268520035,0.60940534658573137165,-,6.54827e-50,false,
19,75.70469069908393316832691676203034592281,2.588018294692747986954110653190234364162,0.49023184756688492306,+,1.60366e-50,false,
20,77.1448400688748053726826648563046370158,-0.553574358897045251508532730089268520035,3.3590344441403416274,-,4.49024e-49,false,
21,79.33737502024936792276359287711622819061,-0.553574358897045251508532730089268520035,17.613340023234120972,-,1.09583e-49,false,
22,82.91038085408603018316483749477060949751,-0.553574358897045251508532730089268520035,2.2672576784167733041,-,5.61281e-50,false,
23,84.73549298051705010573531120682774141711,-0.553574358897045251508532730089268520035,0.02768030999066343172,-,2.95341e-49,false,
24,87.42527461312522940653166785091921325217,-0.553574358897045251508532730089268520035,1.3871821180641723889,-,7.21646e-50,false,
25,88.80911120763446542368234807950937839544,-0.553574358897045251508532730089268520035,5.1969804547108115991,-,3.20732e-50,false,
26,92.49189927055848429625972524181068487872,-0.553574358897045251508532730089268520035,2.8650259880829781701,-,2.40549e-49,false,
27,94.65134404051988696659792581520815393773,-0.553574358897045251508532730089268520035,0.23706640273019483791,-,1.47002e-50,false,
28,95.87063422824530975874102921924678169526,-0.553574358897045251508532730089268520035,0.33398121284353573331,-,4.5437e-50,false,
29,98.83119421819369223332442013862232782066,-0.553574358897045251508532730089268520035,14.679448713636058156,-,1.20274e-49,false,
30,101.3178510057313912287854479402923089063,-0.553574358897045251508532730089268520035,0.12106388547395666624,-,1.28293e-49,false,
31,103.7255380404783394163984081086952808345,2.588018294692747986954110653190234364162,1.3485827519047933335,+,1.06911e-50,false,
32,105.4466230523260944936708324141118089973,2.588018294692747986954110653190234364162,24.039894930566954519,+,3.95569e-49,false,
33,107.1686111842764075151233519630861912135,-0.553574358897045251508532730089268520035,0.61589414511847174371,-,2.01794e-49,false,
34,111.0295355431696745246564503099443504153,-0.553574358897045251508532730089268520035,0.066499588243710444371,-,2.33867e-49,false,
35,111.8746591769926370856120787167705949603,-0.553574358897045251508532730089268520035,0.071913536767035933536,-,1.00229e-49,false,
36,114.3202209154527127658909372761910798099,2.588018294692747986954110653190234364162,2.0628833508022058597,+,6.41464e-50,false,
37,116.2266803208575543821608043120647551273,-0.553574358897045251508532730089268520035,922.94653078489016304,-,5.50857e-48,false,
38,118.7907828659762173229791397026998243473,-0.553574358897045251508532730089268520035,0.61579693538702504783,-,2.67276e-51,false,
39,121.370125002420645918945532970499922723,-0.553574358897045251508532730089268520035,2.9024635994453916797,-,1.32302e-49,false,
40,122.9468292935525882008174603307700164962,-0.553574358897045251508532730089268520035,0.78419937962036489689,-,1.8843e-49,false,
41,124.2568185543457671847320079661299244416,-0.553574358897045251508532730089268520035,0.23784488643315569423,-,3.60823e-49,false,
42,127.5166838795964951242793237669060762681,-0.553574358897045251508532730089268520035,1.2466722908343361183,-,8.15193e-50,false,
43,129.5787041999560509857680339061799736086,-0.553574358897045251508532730089268520035,0.034470100270520158335,-,9.48831e-50,false,
44,131.0876885309326567235663724615013490592,2.588018294692747986954110653190234364162,0.25781147854688340195,+,1.76402e-49,false,
45,133.497737202997586450130492042640607665,-0.553574358897045251508532730089268520035,4.3184491720071531585,-,1.7373e-50,false,
46,134.7565097533738713313260641571697361784,-0.553574358897045251508532730089268520035,4.1427335196861157211,-,2.07139e-49,false,
47,138.1160420545334432001915551902824478598,2.588018294692747986954110653190234364162,0.89669650827097505089,+,1.22947e-49,false,
48,139.7362089521213889504500465233824608468,2.588018294692747986954110653190234364162,0.59057661958210293567,+,1.33638e-49,false,
49,141.1237074040211237619403538184753550903,-0.553574358897045251508532730089268520035,2.8541794145355724865,-,3.74187e-50,false,
50,143.1118458076206327394051238689139299662,-0.553574358897045251508532730089268520035,1.4259236230883408605,-,8.68649e-50,false,
