d_probe,d_target,n_targets,n_minima,t_lo,t_hi,signal_mean,null_mean,null_std,z,effect_size,verdict
3,3,624,855,0.7746569157000001,704.0216051579,0.28931266049310345,0.40994620703071644,0.016381327779950185,-7.364088440087354,0.29426677078286556,PASS
3,5,904,1220,1.6484433651000003,1004.8444543362,0.29304928836650174,0.41016272148155664,0.013558293335424769,-8.637771009796923,0.28552919848987546,PASS
3,7,417,614,0.7746569157000001,504.3341245174,0.2840919884899274,0.409398471813136,0.020941093241490308,-5.98376034518296,0.30607462399225305,PASS
3,13,538,732,0.7746569157000001,603.4460665226,0.2911607944269676,0.41176491147398553,0.018387893686312343,-6.558887010359091,0.29289556658748345,PASS
5,3,624,820,0.7746569157000001,704.0216051579,0.30537342797387224,0.4279987069577034,0.018036625854978013,-6.7986817473395265,0.2865085267557818,PASS
5,5,904,1185,1.6484433651000003,1004.8444543362,0.29653949218154424,0.42235401054221144,0.014143926301881951,-8.895303586524392,0.2978887739201257,PASS
5,7,417,583,0.7746569157000001,504.3341245174,0.30968989338202974,0.4315051294366849,0.022131685560920832,-5.504110191667968,0.28230310080828186,PASS
5,13,538,704,0.7746569157000001,603.4460665226,0.29497083404554847,0.4265861629443135,0.018821151530331873,-6.9929477315272575,0.3085316410414045,PASS
7,3,624,784,0.7746569157000001,704.0216051579,0.31534699647549197,0.44754002290579337,0.019258457140306752,-6.864154561666813,0.2953769934854025,PASS
7,5,904,1142,1.6484433651000003,1004.8444543362,0.3053153028795716,0.43816780113283926,0.015226820516578352,-8.724900783365982,0.3032000478122554,PASS
7,7,417,550,0.7746569157000001,504.3341245174,0.3174005791144105,0.4564301185802465,0.023760599864395066,-5.851263867886176,0.304602027355898,PASS
7,13,538,661,0.7746569157000001,603.4460665226,0.3139021307648723,0.4551949248388006,0.020579066939781458,-6.865850355965108,0.3104006357802972,PASS
13,3,624,742,0.7746569157000001,704.0216051579,0.35212771372452334,0.4735068662068484,0.020407179518966877,-5.947865179973187,0.25634084982687744,PASS
13,5,904,1096,1.6484433651000003,1004.8444543362,0.31480869021252067,0.45701814090625975,0.015708336178568663,-9.053119889791992,0.3111680652582849,PASS
13,7,417,513,0.7746569157000001,504.3341245174,0.3594926541398225,0.4899185567795162,0.025994548500936118,-5.017432891169345,0.26621956003677316,PASS
13,13,538,624,0.7746569157000001,603.4460665226,0.3493119604544653,0.4824627363907748,0.022073839119456123,-6.0320624434989645,0.2759814715067713,PASS
